"user_id","game_name","language","has_older_device_model","age","payment_month","user_status","total_payment","total_payment_previous"
"06RPvlsFPCmM9ag+iSM/Ag==",game 3,ru,false,34,2022-03-01,inactive,0,0
"0A5RkQrm+GBgG7KSFk/xhw==",game 3,uk,false,31,2022-03-01,inactive,0,0
"0afix9qVNfU3GJY1n0QGkw==",game 3,uk,false,25,2022-03-01,inactive,0,0
"0dJXy70SFjxVR6YgOPZzMQ==",game 3,uk,false,27,2022-03-01,inactive,0,0
"14RMzQMoG017OLkaDBFjng==",game 3,uk,false,36,2022-03-01,inactive,0,0
"1BBMagZRq/39AV1l2rm4Iw==",game 3,ru,false,23,2022-03-01,inactive,0,0
"1dvc3uv3gFy83YY5oJeFkQ==",game 3,uk,false,17,2022-03-01,inactive,0,0
"1jx1AjqUwE9sbCyafQnUNQ==",game 3,ru,false,25,2022-03-01,inactive,0,0
"1KzlDBp5hORL7Y5PBaB+0g==",game 3,uk,false,22,2022-03-01,inactive,0,0
"1tIsLi6U0zW1RIuaViNanA==",game 3,uk,false,20,2022-03-01,inactive,0,0
"29qvbD06oXdmg5G7X/Wigw==",game 3,uk,false,17,2022-03-01,inactive,0,0
"2be8IOVjt9pzDDEVqZwIKQ==",game 3,ru,false,25,2022-03-01,inactive,0,0
"2FYEYdoJMUOtbJ6TruruWA==",game 3,ru,false,20,2022-03-01,inactive,0,0
"2KL9Q4TKLCcD4cngwhx6Dg==",game 3,ru,false,18,2022-03-01,inactive,0,0
"2onLVyXEEj2aH+D4N9ldYQ==",game 3,uk,false,16,2022-03-01,inactive,0,0
"2Tm77AxZ7h7oCNKgCgMpnQ==",game 3,uk,false,23,2022-03-01,inactive,0,0
"3iITAz/ADjFv3PDTgTjxSg==",game 3,ru,false,16,2022-03-01,new,23.76,0
"3KHhqZr7/1n2+bTP13WuXA==",game 3,uk,false,16,2022-03-01,inactive,0,0
"3KSfEl7FcP/+5FSUNXs5Aw==",game 3,ru,false,28,2022-03-01,inactive,0,0
"3OXz+Ar2gN+zfGLZTRCVMQ==",game 3,uk,false,16,2022-03-01,inactive,0,0
"3rCdNEPkh3vwmYB0BVadEw==",game 3,ru,false,27,2022-03-01,inactive,0,0
"3TfpxDVNF0T+g4S60EOCBw==",game 3,uk,false,28,2022-03-01,inactive,0,0
"3v8rT35Ra6ui/zatnMoTIw==",game 3,uk,false,28,2022-03-01,inactive,0,0
"3Whh6FLR1MSfsuHKVdCEYQ==",game 3,uk,true,21,2022-03-01,inactive,0,0
"3Xuq0acIoGEgw19qflIoog==",game 3,uk,false,25,2022-03-01,inactive,0,0
"4b7l8C489HEJirtoe7xtFg==",game 3,uk,true,20,2022-03-01,new,27.15,0
"4btLP2zvi8eBV0t08fdkKQ==",game 3,ru,false,20,2022-03-01,new,17.79,0
"4EiWC2ewiX2A7i9NuBAefQ==",game 3,uk,true,18,2022-03-01,inactive,0,0
"4oH5e29koOH9zNYW8Kwcsg==",game 3,uk,false,28,2022-03-01,inactive,0,0
